Sentence_Preprocessed,Emotion
feel heartless heart hurt still feel feel much pain,anger
im feelin spiteful well actually visit house watch rally finland,anger
couldnt get sleep feeling quite irritable restless every time dropping sleep mosquito would land face squeal around ear,anger
miss much every moment feel like miss even like far away ever distracted,anger
still feel like somehow one family member horribly wronged tragic event transpired today,anger
feel like cant take anymore told boyfriend furious,anger
hate feeling im indecisive,fear
feel shy fact love inanimate thing,fear
wanted knowing nothing stepped candyland make looking haggard left feeling radiant bag full product course,joy
feeling bit unsure im going give try anyway,fear
feel sincere wanting resolve grievance,joy
feel weird,fear
feeling cranky christmas,anger
could barely leave house feeling lot isolation hated lack control life everyone else knew moving,anger
would feel like hypocrite supporting palin reason,joy
feel bit strange publishing beautiful photo,fear
im huge fan london grammar disclosure eye perfect collaboration definitely help make feel creative,joy
feel like mouse among men perpetually terrified,fear
ive started delve deep evaluate everything made feel insecure unworthy,fear
feel agitated,fear
really good mood work feeling playful,joy
feeling grouchy,anger
began feel le anxious,fear
monthe ago,anger
getting motivated losing weight getting healthy wearing outfit feeling fantastic,joy
cant explain truly feel word encapsulate ness currently ecstatic happy bouncy relieved energised mood dance wanting chocolate wanting socialise right smiley lose word express bah emo,joy
feel peaceful know made right decision,joy
bit comfort zone im feeling tad apprehensive,fear
feel uptight,fear
back home feeling irritable since ive looking forward party week,anger
scream every day every night one hears face starting fall feel anxious frightened time think know anything mean anymore,fear
feel jealous whenever relationship dont get talk anymore,anger
stopped feeling intimidated looking wod guess mean learning find right balance scale push harder,fear
im feeling outgoing mood put game face smooch,joy
feel resentful tell better share,anger
found novel position feeling bit uncertain stock market rally,fear
repeat feel become le afraid,fear
feel ecstatic survived comprehensive exam never sure would survive pas survive,joy
really come intense struggle since moving say proud way giving respect feel however need feel mad stressed whatever yet still pull together fix issue,anger
feel terribly helpless sometimes even limited spiritual awareness able find answer know end outcome decision able move readjust pick piece centre enjoy decision,fear
also aware glamour sometimes want feel glamourous know,joy
joy heard take course medical assistant,joy
feel hate like never ever hated anyone like cant stop looking existing symbol,anger
sometimes feel shy musical taste wanders towards might call techno slander,fear
feel talented sometimes,joy
feeling even le splendid nothing needed done day decided baby,joy
im feeling particularly benevolent today,joy
im sure im feeling extremely vulnerable feel depressed sad,fear
feel festive,joy
feel disgusted,anger
feel bit fearful might feeling stressed drinking much,fear
imagined zombie must feel like time would wake pissed,anger
feel gift card thought rude,anger
always get question blocking class topic feel pretty passionately knitter teacher,joy
feel way withdraw become irritable,anger
like lot person cant help feeling le dream job shes sociable shes combat trainer,joy
always feel pressured socialize get eight missed call text host brother span hour,fear
feeling pretty wimpy,fear
began feel distressed feeling sadness desire kill,fear
im ready meet little man knowing time running leaf feeling little apprehensive,fear
feel like pissed spend entire extra year school stupid biochem,anger
